exposure,biomarker,race,estimate,conf.low,conf.high
Social_Isolation,IL_10,Overall,-0.435683475,-0.884186126,0.012819175
Social_Isolation,IL_10,White,-0.566444193,-1.144167244,0.011278858
Social_Isolation,IL_10,Non-White,-0.166483718,-0.906476574,0.573509137
Social_Isolation,IFN_gamma,Overall,-0.471655495,-0.950367924,0.007056933
Social_Isolation,IFN_gamma,White,-0.712852511,-1.307131705,-0.118573316
Social_Isolation,IFN_gamma,Non-White,0.111058722,-0.860910664,1.083028108
Social_Isolation,IL_12p70,Overall,-0.35052271,-0.808292736,0.107247317
Social_Isolation,IL_12p70,White,-0.464938575,-1.057023801,0.127146651
Social_Isolation,IL_12p70,Non-White,0.024736508,-0.769812876,0.819285893
Social_Isolation,IFN_alpha2,Overall,-0.378972338,-0.792085965,0.034141289
Social_Isolation,IFN_alpha2,White,-0.641847885,-1.111612473,-0.172083296
Social_Isolation,IFN_alpha2,Non-White,0.344296831,-0.60058917,1.289182832
Social_Isolation,CX3CL1,Overall,-0.471936844,-0.991756887,0.047883198
Social_Isolation,CX3CL1,White,-0.947348227,-1.571231558,-0.323464895
Social_Isolation,CX3CL1,Non-White,0.73376163,-0.344881256,1.812404516
Social_Isolation,IFN_lambda1,Overall,-0.649622202,-1.114086238,-0.185158166
Social_Isolation,IFN_lambda1,White,-0.869849877,-1.452896225,-0.286803528
Social_Isolation,IFN_lambda1,Non-White,-0.070440779,-0.887140996,0.746259439
Social_Isolation,IFN_lambda2_3,Overall,-0.534935202,-0.998047657,-0.071822748
Social_Isolation,IFN_lambda2_3,White,-0.543255095,-1.140239316,0.053729125
Social_Isolation,IFN_lambda2_3,Non-White,-0.470182328,-1.320194914,0.379830258
Social_Isolation,sTREM_1,Overall,-0.538366738,-1.064835532,-0.011897944
Social_Isolation,sTREM_1,White,-0.93491207,-1.624919735,-0.244904406
Social_Isolation,sTREM_1,Non-White,0.481364945,-0.269572099,1.232301989
Social_Isolation,sRAGE,Overall,-0.400661848,-0.946787072,0.145463377
Social_Isolation,sRAGE,White,-0.7738158,-1.469824564,-0.077807036
Social_Isolation,sRAGE,Non-White,0.502574122,-0.463393383,1.468541627
Social_Isolation,GM_CSF,Overall,-0.111938144,-0.507220199,0.283343912
Social_Isolation,GM_CSF,White,-0.19992028,-0.711444256,0.311603696
Social_Isolation,GM_CSF,Non-White,0.339257324,-0.233451265,0.911965913
Social_Health,IL_10,Overall,-0.344028869,-0.770589739,0.082532001
Social_Health,IL_10,White,-0.227112956,-0.767546757,0.313320846
Social_Health,IL_10,Non-White,-0.494086139,-1.255344826,0.267172548
Social_Health,IFN_gamma,Overall,-0.401530548,-0.8559216,0.052860503
Social_Health,IFN_gamma,White,-0.344862242,-0.904871298,0.215146814
Social_Health,IFN_gamma,Non-White,-0.464752261,-1.478003722,0.5484992
Social_Health,IL_12p70,Overall,-0.305382332,-0.739084176,0.128319512
Social_Health,IL_12p70,White,-0.195325819,-0.744610098,0.353958461
Social_Health,IL_12p70,Non-White,-0.357931629,-1.186979182,0.471115923
Social_Health,IFN_alpha2,Overall,-0.367708884,-0.758080204,0.022662436
Social_Health,IFN_alpha2,White,-0.360554778,-0.804792484,0.083682928
Social_Health,IFN_alpha2,Non-White,-0.144292634,-1.154009809,0.865424541
Social_Health,CX3CL1,Overall,-0.448525021,-0.940077982,0.04302794
Social_Health,CX3CL1,White,-0.792073429,-1.369051874,-0.215094983
Social_Health,CX3CL1,Non-White,0.719584729,-0.428823461,1.867992918
Social_Health,IFN_lambda1,Overall,-0.760027705,-1.190243433,-0.329811977
Social_Health,IFN_lambda1,White,-0.645731378,-1.190878014,-0.100584743
Social_Health,IFN_lambda1,Non-White,-0.824066512,-1.623193198,-0.024939825
Social_Health,IFN_lambda2_3,Overall,-0.604194321,-1.0372635,-0.171125142
Social_Health,IFN_lambda2_3,White,-0.461326839,-1.009164856,0.086511178
Social_Health,IFN_lambda2_3,Non-White,-0.95919799,-1.796515075,-0.121880904
Social_Health,sTREM_1,Overall,-0.515555198,-1.013215872,-0.017894524
Social_Health,sTREM_1,White,-0.781691183,-1.418387629,-0.144994737
Social_Health,sTREM_1,Non-White,0.41991653,-0.383831424,1.223664484
Social_Health,sRAGE,Overall,-0.367102633,-0.883948641,0.149743375
Social_Health,sRAGE,White,-0.606675255,-1.249401494,0.036050984
Social_Health,sRAGE,Non-White,0.446657735,-0.582953972,1.476269443
Social_Health,GM_CSF,Overall,-0.304575138,-0.674103248,0.064952971
Social_Health,GM_CSF,White,-0.166012215,-0.634213006,0.302188576
Social_Health,GM_CSF,Non-White,-0.324169587,-0.933885989,0.285546814